GUID,UN LOCODE,Latitude,Longitude,Mile,Facility Type,Official Name,Port Name,Waterway Name
0J9K,NMB,33.853379,-78.653754,347,,PALMETTO SHORES MARINA,Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District),Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District)
0JZA,NMB,33.857562,-78.552425,1,Dock,LITTLE RIVER INLET,Little River Inlet SC,Little River Inlet SC
0J9N,LR3,33.863138,-78.621408,345,,INTERNATIONAL PAPER COMPANY,Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District),Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District)
0QSJ,AEK,33.864884,-88.53094,360,Mile point,MILE 360  TTWTY,Tennessee Tombigbee Waterway,Tennessee Tombigbee Waterway
0JEK,NMB,33.865763,-78.560337,341,,NORTHERN CHARLESTON DIST BOUNDARY,Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District),Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District)
0DUB,RAE,33.86641,-91.06127,590,Mile point,MILE 590  LOWER MISS RIVER,Mississippi River Mouth of Ohio River to Baton Rouge LA,Mississippi River Mouth of Ohio River to Baton Rouge LA
0DUC,RAE,33.867116,-91.063781,590,Dock,GRAVEL CO OF BOLIVAR COUNTY  ROSEDALE,Mississippi River Mouth of Ohio River to Baton Rouge LA,Mississippi River Mouth of Ohio River to Baton Rouge LA
0J9M,LR3,33.870661,-78.606599,344,,BILLY & LARRY LONG,Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District),Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District)
0J9L,LR3,33.870661,-78.606599,344,,HURRICANE MARINA  LITTLE RIVER SC,Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District),Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District)
0J9H,NMB,33.871413,-78.573865,342,,DREDGING AREA,Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District),Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District)
0JER,NMB,33.871413,-78.573865,342,,JCT LITTLE RIVER INLET & AICW,Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District),Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District)
0J9J,NMB,33.871413,-78.573865,342,,NEW RASCAL DOCK,Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District),Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District)
0NTH,AEK,33.87799,-88.538506,361,Mile point,MILE 361  TTWTY,Tennessee Tombigbee Waterway,Tennessee Tombigbee Waterway
0DUD,RAE,33.8797,-91.05441,591,Mile point,MILE 591  LOWER MISS RIVER,Mississippi River Mouth of Ohio River to Baton Rouge LA,Mississippi River Mouth of Ohio River to Baton Rouge LA
0K3B,,33.884392,-79.409187,71,,DINGBY LANDING,Great Pee Dee River SC,Great Pee Dee River SC
0KBU,,33.885211,-78.495663,337,,SEASIDE,Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Wilmington District),Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Wilmington District)
0DUE,RAE,33.89112,-91.04379,592,Mile point,MILE 592  LOWER MISS RIVER,Mississippi River Mouth of Ohio River to Baton Rouge LA,Mississippi River Mouth of Ohio River to Baton Rouge LA
0DA3,RAE,33.89115,-91.04438,952,Dock,CGB MARINE SERVICES ISLAND 1 FLEET,Mississippi River Mouth of Ohio River to Baton Rouge LA,Mississippi River Mouth of Ohio River to Baton Rouge LA
0JJA,ARY,33.891846,-88.542802,362,Mile point,MILE 362  TTWTY,Tennessee Tombigbee Waterway,Tennessee Tombigbee Waterway
0K3A,JHV,33.892457,-79.412852,73,,POSTON,Great Pee Dee River SC,Great Pee Dee River SC
0P97,OAI,33.89256,-78.01497,6,Dock,ADM (SOUTHPORT),Wilmington Harbor NC,Wilmington Harbor NC
0KED,OAI,33.89256,-78.01497,6,Dock,INDIGO PLANTATION MARINA DOCK,Wilmington Harbor NC,Wilmington Harbor NC
0KEJ,OAI,33.89256,-78.01497,0,Dock,MARKET STREET WHARF DOCK,Wilmington Harbor NC,Wilmington Harbor NC
0KEH,OAI,33.89256,-78.01497,0,Dock,MIDSTREAM,Wilmington Harbor NC,Wilmington Harbor NC
0KEE,OAI,33.89256,-78.01497,6,Dock,SOUTHPORT MUNICIPAL DOCK,Wilmington Harbor NC,Wilmington Harbor NC
0P99,OAI,33.89256,-78.01497,0,Dock,SUNNY POINT (MILITARY OCEAN TERMINAL),Wilmington Harbor NC,Wilmington Harbor NC
10T6,,33.893702,-78.033566,1,Dock,USCG Station Oak Island NC,Wilmington Harbor NC,Wilmington Harbor NC
0J9E,,33.896806,-78.368218,1,,SHALLOTTE POINT LANDING,Shallotte River NC,Shallotte River NC
